carbon_price,price_impact,volume_impact,total_ead,original_ecl,refined_ecl,avg_dscr,avg_net_leverage,original_ecl_rate,refined_ecl_rate,ecl_increase
150,-0.25,-0.15,1600,63.125,84.3125,0.0935221708900907,2.994655079557617,0.039453125,0.0526953125,21.1875
200,-0.25,-0.15,1600,63.125,84.3125,0.0634487596821581,3.0452969771309486,0.039453125,0.0526953125,21.1875
100,-0.25,-0.15,1600,63.125,84.3125,0.1235955820980235,2.945893223557104,0.039453125,0.0526953125,21.1875
0,-0.25,-0.15,1600,63.125,82.25,0.1837424045138888,2.853574407632564,0.039453125,0.05140625,19.125
50,-0.25,-0.15,1600,63.125,82.25,0.1536689933059562,2.898900365638358,0.039453125,0.05140625,19.125
75,-0.25,-0.15,1600,63.125,82.25,0.1386322877019898,2.9221822494738583,0.039453125,0.05140625,19.125
200,-0.25,-0.1,1600,63.125,82.25,0.1323519798344017,2.8761138117347844,0.039453125,0.05140625,19.125
150,-0.25,-0.1,1600,63.125,82.25,0.1641944152310363,2.828285352915527,0.039453125,0.05140625,19.125
200,-0.2,-0.15,1600,63.125,82.25,0.1415390758547007,2.854965916060264,0.039453125,0.05140625,19.125
50,-0.2,-0.15,1600,63.125,80.25,0.2377739917200854,2.717719092785961,0.039453125,0.05015625,17.125
100,-0.25,-0.1,1600,63.125,80.25,0.1960368506276708,2.7822324889150427,0.039453125,0.05015625,17.125
75,-0.25,-0.1,1600,63.125,80.25,0.2119580683259881,2.7598387911697557,0.039453125,0.05015625,17.125
50,-0.25,-0.1,1600,63.125,80.25,0.2278792860243055,2.737850345325116,0.039453125,0.05015625,17.125
150,-0.2,-0.15,1600,63.125,80.25,0.1736173811431623,2.807489137085266,0.039453125,0.05015625,17.125
75,-0.2,-0.15,1600,63.125,80.25,0.2217348390758546,2.739545858881742,0.039453125,0.05015625,17.125
100,-0.2,-0.15,1600,63.125,80.25,0.2056956864316239,2.761774897084785,0.039453125,0.05015625,17.125
0,-0.25,-0.1,1600,61.25,76.125,0.2597217214209402,2.6950424960974204,0.03828125,0.047578125,14.875
200,-0.15,-0.15,1600,61.25,75.5625,0.2196293920272436,2.6870267445273077,0.03828125,0.0472265625,14.3125
150,-0.25,-0.05,1600,61.25,75.5625,0.2348666595719818,2.679428229077868,0.03828125,0.0472265625,14.3125
200,-0.25,-0.05,1600,61.25,75.5625,0.2012551999866452,2.724739400590849,0.03828125,0.0472265625,14.3125
