carbon_price,price_impact,volume_impact,total_ead,original_ecl,refined_ecl,avg_dscr,avg_net_leverage,original_ecl_rate,refined_ecl_rate,ecl_increase,scenario_id,portfolio_dscr_below_1,portfolio_high_leverage,portfolio_risk_category
0,-0.25,-0.15,1600,63.125,82.25,0.1837424045138888,2.853574407632564,0.039453125,0.05140625,19.125,CP_0_P_-0.25_V_-0.15,True,False,High
0,-0.25,-0.1,1600,61.25,76.125,0.2597217214209402,2.6950424960974204,0.03828125,0.047578125,14.875,CP_0_P_-0.25_V_-0.1,True,False,High
0,-0.25,-0.05,1600,57.375,67.2375,0.3357010383279915,2.5531981541975566,0.035859375,0.0420234375,9.862499999999995,CP_0_P_-0.25_V_-0.05,True,False,High
0,-0.25,0.0,1600,57.375,63.4875,0.4116803552350427,2.425538246487679,0.035859375,0.0396796875,6.112500000000004,CP_0_P_-0.25_V_0.0,True,False,High
0,-0.2,-0.15,1600,59.25,71.925,0.269852297008547,2.675226007155528,0.03703125,0.044953125,12.674999999999995,CP_0_P_-0.2_V_-0.15,True,False,High
0,-0.2,-0.1,1600,57.375,67.2375,0.3508969017094017,2.526602340091332,0.035859375,0.0420234375,9.862499999999995,CP_0_P_-0.2_V_-0.1,True,False,High
0,-0.2,-0.05,1600,57.375,59.8875,0.4319415064102565,2.393623269560209,0.035859375,0.0374296875,2.512500000000003,CP_0_P_-0.2_V_-0.05,True,False,High
0,-0.2,0.0,1600,57.375,57.825,0.512986111111111,2.273942106082199,0.035859375,0.036140625,0.4500000000000028,CP_0_P_-0.2_V_0.0,True,False,Elevated
0,-0.15,-0.15,1600,57.375,67.2375,0.3559621895032052,2.517859771440497,0.035859375,0.0420234375,9.862499999999995,CP_0_P_-0.15_V_-0.15,True,False,High
0,-0.15,-0.1,1600,57.375,59.8875,0.4420720819978631,2.3779786730271364,0.035859375,0.0374296875,2.512500000000003,CP_0_P_-0.15_V_-0.1,True,False,High
0,-0.15,-0.05,1600,57.375,57.825,0.5281819744925214,2.2528219007625503,0.035859375,0.036140625,0.4500000000000028,CP_0_P_-0.15_V_-0.05,True,False,Elevated
0,-0.15,0.0,1600,51.625,43.55,0.6142918669871795,2.1401808057244227,0.032265625,0.02721875,-8.075000000000003,CP_0_P_-0.15_V_0.0,True,False,Elevated
0,-0.1,-0.15,1600,57.375,59.8875,0.4420720819978631,2.3779786730271364,0.035859375,0.0374296875,2.512500000000003,CP_0_P_-0.1_V_-0.15,True,False,High
0,-0.1,-0.1,1600,57.375,57.825,0.5332472622863248,2.245868746747851,0.035859375,0.036140625,0.4500000000000028,CP_0_P_-0.1_V_-0.1,True,False,Elevated
0,-0.1,-0.05,1600,51.625,43.55,0.6244224425747863,2.127665128497964,0.032265625,0.02721875,-8.075000000000003,CP_0_P_-0.1_V_-0.05,True,False,Elevated
0,-0.1,0.0,1600,51.625,40.35,0.7155976228632478,2.021281872073066,0.032265625,0.02521875,-11.275,CP_0_P_-0.1_V_0.0,True,False,Elevated
0,-0.05,-0.15,1600,57.375,57.825,0.5281819744925214,2.2528219007625503,0.035859375,0.036140625,0.4500000000000028,CP_0_P_-0.05_V_-0.15,True,False,Elevated
0,-0.05,-0.1,1600,51.625,43.55,0.6244224425747863,2.127665128497964,0.032265625,0.02721875,-8.075000000000003,CP_0_P_-0.05_V_-0.1,True,False,Elevated
0,-0.05,-0.05,1600,51.625,40.35,0.7206629106570511,2.0156827533138606,0.032265625,0.02521875,-11.275,CP_0_P_-0.05_V_-0.05,True,False,Elevated
0,-0.05,0.0,1600,41.5,35.1,0.8169033787393162,1.9148986156481675,0.0259375,0.0219375,-6.399999999999999,CP_0_P_-0.05_V_0.0,True,False,Elevated
0,0.0,-0.15,1600,51.625,43.55,0.6142918669871795,2.1401808057244227,0.032265625,0.02721875,-8.075000000000003,CP_0_P_0.0_V_-0.15,True,False,Elevated
0,0.0,-0.1,1600,51.625,40.35,0.7155976228632478,2.021281872073066,0.032265625,0.02521875,-11.275,CP_0_P_0.0_V_-0.1,True,False,Elevated
