carbon_price,price_impact,volume_impact,total_ead,total_ecl,avg_dscr,avg_interest_coverage,avg_net_leverage,portfolio_ecl_rate
0,-0.25,-0.15,1600,63.125,0.18374240451388887,4.8708648989898995,2.8535744076325638,0.039453125
0,-0.25,-0.1,1600,61.25,0.2597217214209402,5.1573863636363635,2.6950424960974204,0.03828125
0,-0.25,-0.05,1600,57.375,0.3357010383279915,5.443907828282828,2.5531981541975566,0.035859375
0,-0.25,0.0,1600,57.375,0.41168035523504276,5.730429292929293,2.425538246487679,0.035859375
0,-0.2,-0.15,1600,59.25,0.26985229700854707,5.1955892255892255,2.675226007155528,0.03703125
0,-0.2,-0.1,1600,57.375,0.35089690170940174,5.501212121212121,2.526602340091332,0.035859375
0,-0.2,-0.05,1600,57.375,0.4319415064102565,5.806835016835017,2.393623269560209,0.035859375
0,-0.2,0.0,1600,57.375,0.5129861111111111,6.112457912457913,2.273942106082199,0.035859375
0,-0.15,-0.15,1600,57.375,0.3559621895032053,5.520313552188552,2.517859771440497,0.035859375
0,-0.15,-0.1,1600,57.375,0.44207208199786313,5.8450378787878785,2.3779786730271364,0.035859375
0,-0.15,-0.05,1600,57.375,0.5281819744925214,6.169762205387205,2.2528219007625503,0.035859375
0,-0.15,0.0,1600,51.625,0.6142918669871795,6.4944865319865315,2.1401808057244227,0.032265625
0,-0.1,-0.15,1600,57.375,0.44207208199786313,5.8450378787878785,2.3779786730271364,0.035859375
0,-0.1,-0.1,1600,57.375,0.5332472622863248,6.188863636363636,2.245868746747851,0.035859375
0,-0.1,-0.05,1600,51.625,0.6244224425747863,6.5326893939393935,2.127665128497964,0.032265625
0,-0.1,0.0,1600,51.625,0.7155976228632479,6.876515151515151,2.021281872073066,0.032265625
0,-0.05,-0.15,1600,57.375,0.5281819744925214,6.169762205387205,2.2528219007625503,0.035859375
0,-0.05,-0.1,1600,51.625,0.6244224425747863,6.5326893939393935,2.127665128497964,0.032265625
0,-0.05,-0.05,1600,51.625,0.7206629106570511,6.895616582491582,2.0156827533138606,0.032265625
0,-0.05,0.0,1600,41.5,0.8169033787393162,7.2585437710437715,1.9148986156481673,0.0259375
0,0.0,-0.15,1600,51.625,0.6142918669871795,6.4944865319865315,2.1401808057244227,0.032265625
0,0.0,-0.1,1600,51.625,0.7155976228632479,6.876515151515151,2.021281872073066,0.032265625
0,0.0,-0.05,1600,41.5,0.8169033787393162,7.2585437710437715,1.9148986156481673,0.0259375
0,0.0,0.0,1600,10.325,0.9182091346153847,7.64057239057239,1.8191536848657595,0.006453125
50,-0.25,-0.15,1600,63.125,0.15366899330595626,4.7825244633838375,2.898900365638358,0.039453125
50,-0.25,-0.1,1600,63.125,0.22787928602430554,5.0638494318181815,2.737850345325116,0.039453125
50,-0.25,-0.05,1600,57.375,0.302089578742655,5.345174400252525,2.5937529587290573,0.035859375
50,-0.25,0.0,1600,57.375,0.37629987146100424,5.6264993686868685,2.4640653107926043,0.035859375
50,-0.2,-0.15,1600,63.125,0.23777399172008548,5.101359427609427,2.7177190927859605,0.039453125
50,-0.2,-0.1,1600,57.375,0.3169316372863247,5.401439393939394,2.5667346987422963,0.035859375
50,-0.2,-0.05,1600,57.375,0.3960892828525641,5.701519360269361,2.431643398808491,0.035859375
50,-0.2,0.0,1600,57.375,0.4752469284188036,6.001599326599327,2.3100612288680664,0.035859375
50,-0.15,-0.15,1600,57.375,0.3218789901342148,5.420194391835017,2.557853263798551,0.035859375
50,-0.15,-0.1,1600,57.375,0.405983988548344,5.739029356060605,2.4157503046986317,0.035859375
50,-0.15,-0.05,1600,57.375,0.4900889869624732,6.057864320286195,2.2886055518197566,0.035859375
50,-0.15,0.0,1600,51.625,0.5741939853766026,6.376699284511784,2.1741752742287686,0.032265625
50,-0.1,-0.15,1600,57.375,0.405983988548344,5.739029356060605,2.4157503046986317,0.035859375
50,-0.1,-0.1,1600,57.375,0.49503633981036343,6.076619318181819,2.2815419544375963,0.035859375
50,-0.1,-0.05,1600,51.625,0.5840886910723825,6.41420928030303,2.161460798940881,0.032265625
50,-0.1,0.0,1600,51.625,0.6731410423344019,6.7517992424242435,2.053387758993837,0.032265625
