carbon_price,price_impact,volume_impact,total_ead,total_ecl,avg_dscr,avg_interest_coverage,avg_net_leverage,portfolio_ecl_rate
0,-0.25,-0.15,1600,63.125,0.18374240451388887,4.8708648989898995,2.8535744076325638,0.039453125
150,-0.2,-0.15,1600,63.125,0.17361738114316236,4.912899831649831,2.807489137085266,0.039453125
150,-0.25,-0.1,1600,63.125,0.16419441523103637,4.876775568181818,2.828285352915527,0.039453125
200,-0.25,-0.1,1600,63.125,0.13235197983440172,4.783238636363636,2.8761138117347844,0.039453125
200,-0.2,-0.15,1600,63.125,0.14153907585470074,4.818670033670034,2.854965916060264,0.039453125
200,-0.25,-0.15,1600,63.125,0.06344875968215817,4.517503156565657,3.0452969771309477,0.039453125
150,-0.25,-0.15,1600,63.125,0.09352217089009073,4.605843592171717,2.9946550795576172,0.039453125
100,-0.25,-0.15,1600,63.125,0.12359558209802358,4.694184027777777,2.945893223557104,0.039453125
75,-0.25,-0.15,1600,63.125,0.13863228770198988,4.738354245580808,2.9221822494738583,0.039453125
75,-0.25,-0.1,1600,63.125,0.2119580683259882,5.0170809659090905,2.7598387911697553,0.039453125
75,-0.2,-0.15,1600,63.125,0.2217348390758547,5.054244528619528,2.739545858881742,0.039453125
100,-0.25,-0.1,1600,63.125,0.19603685062767093,4.9703124999999995,2.7822324889150427,0.039453125
100,-0.2,-0.15,1600,63.125,0.20569568643162395,5.00712962962963,2.7617748970847855,0.039453125
50,-0.25,-0.15,1600,63.125,0.15366899330595626,4.7825244633838375,2.898900365638358,0.039453125
50,-0.2,-0.15,1600,63.125,0.23777399172008548,5.101359427609427,2.7177190927859605,0.039453125
50,-0.25,-0.1,1600,63.125,0.22787928602430554,5.0638494318181815,2.737850345325116,0.039453125
150,-0.25,-0.05,1600,61.25,0.23486665957198186,5.14770754419192,2.679428229077868,0.03828125
200,-0.15,-0.15,1600,61.25,0.21962939202724363,5.119836910774411,2.6870267445273073,0.03828125
200,-0.2,-0.1,1600,61.25,0.215035844017094,5.1021212121212125,2.69635669850136,0.03828125
200,-0.25,-0.05,1600,61.25,0.2012551999866453,5.048974116161617,2.7247394005908485,0.03828125
