carbon_price,price_impact,volume_impact,total_ead,original_ecl,refined_ecl,avg_dscr,avg_net_leverage,original_ecl_rate,refined_ecl_rate,ecl_increase
0,-0.25,-0.15,1600,63.125,82.25,0.18374240451388882,2.8535744076325638,0.039453125,0.05140625,19.125
0,-0.25,-0.1,1600,61.25,76.125,0.2597217214209402,2.6950424960974204,0.03828125,0.047578125,14.875
0,-0.25,-0.05,1600,57.375,67.2375,0.3357010383279915,2.5531981541975566,0.035859375,0.0420234375,9.862499999999997
0,-0.25,0.0,1600,57.375,63.487500000000004,0.41168035523504276,2.425538246487679,0.035859375,0.039679687500000005,6.112500000000004
0,-0.2,-0.15,1600,59.25,71.925,0.269852297008547,2.675226007155528,0.03703125,0.044953125,12.674999999999997
0,-0.2,-0.1,1600,57.375,67.2375,0.35089690170940174,2.526602340091332,0.035859375,0.0420234375,9.862499999999997
0,-0.2,-0.05,1600,57.375,59.8875,0.4319415064102565,2.393623269560209,0.035859375,0.0374296875,2.512500000000003
0,-0.2,0.0,1600,57.375,57.825,0.512986111111111,2.273942106082199,0.035859375,0.036140625,0.45000000000000284
0,-0.15,-0.15,1600,57.375,67.2375,0.35596218950320524,2.517859771440497,0.035859375,0.0420234375,9.862499999999997
0,-0.15,-0.1,1600,57.375,59.8875,0.44207208199786313,2.3779786730271364,0.035859375,0.0374296875,2.512500000000003
0,-0.15,-0.05,1600,57.375,57.825,0.5281819744925214,2.2528219007625503,0.035859375,0.036140625,0.45000000000000284
0,-0.15,0.0,1600,51.625,43.55,0.6142918669871795,2.1401808057244227,0.032265625,0.02721875,-8.075000000000003
0,-0.1,-0.15,1600,57.375,59.8875,0.44207208199786313,2.3779786730271364,0.035859375,0.0374296875,2.512500000000003
0,-0.1,-0.1,1600,57.375,57.825,0.5332472622863248,2.245868746747851,0.035859375,0.036140625,0.45000000000000284
0,-0.1,-0.05,1600,51.625,43.55,0.6244224425747863,2.127665128497964,0.032265625,0.02721875,-8.075000000000003
0,-0.1,0.0,1600,51.625,40.35,0.7155976228632478,2.021281872073066,0.032265625,0.02521875,-11.274999999999999
0,-0.05,-0.15,1600,57.375,57.825,0.5281819744925214,2.2528219007625503,0.035859375,0.036140625,0.45000000000000284
0,-0.05,-0.1,1600,51.625,43.55,0.6244224425747863,2.127665128497964,0.032265625,0.02721875,-8.075000000000003
0,-0.05,-0.05,1600,51.625,40.35,0.7206629106570511,2.0156827533138606,0.032265625,0.02521875,-11.274999999999999
0,-0.05,0.0,1600,41.5,35.1,0.8169033787393162,1.9148986156481673,0.0259375,0.021937500000000002,-6.399999999999999
0,0.0,-0.15,1600,51.625,43.55,0.6142918669871795,2.1401808057244227,0.032265625,0.02721875,-8.075000000000003
0,0.0,-0.1,1600,51.625,40.35,0.7155976228632478,2.021281872073066,0.032265625,0.02521875,-11.274999999999999
0,0.0,-0.05,1600,41.5,35.1,0.8169033787393162,1.9148986156481673,0.0259375,0.021937500000000002,-6.399999999999999
0,0.0,0.0,1600,10.325,28.15,0.9182091346153847,1.8191536848657595,0.006453125,0.01759375,17.825
50,-0.25,-0.15,1600,63.125,82.25,0.15366899330595624,2.898900365638358,0.039453125,0.05140625,19.125
50,-0.25,-0.1,1600,63.125,80.25,0.22787928602430552,2.737850345325116,0.039453125,0.05015625,17.125
50,-0.25,-0.05,1600,57.375,67.2375,0.302089578742655,2.5937529587290573,0.035859375,0.0420234375,9.862499999999997
50,-0.25,0.0,1600,57.375,67.2375,0.37629987146100424,2.464065310792604,0.035859375,0.0420234375,9.862499999999997
50,-0.2,-0.15,1600,63.125,80.25,0.23777399172008543,2.717719092785961,0.039453125,0.05015625,17.125
50,-0.2,-0.1,1600,57.375,67.2375,0.3169316372863246,2.5667346987422963,0.035859375,0.0420234375,9.862499999999997
50,-0.2,-0.05,1600,57.375,67.2375,0.3960892828525641,2.431643398808491,0.035859375,0.0420234375,9.862499999999997
50,-0.2,0.0,1600,57.375,57.825,0.4752469284188036,2.3100612288680664,0.035859375,0.036140625,0.45000000000000284
50,-0.15,-0.15,1600,57.375,67.2375,0.3218789901342148,2.557853263798551,0.035859375,0.0420234375,9.862499999999997
50,-0.15,-0.1,1600,57.375,67.2375,0.405983988548344,2.4157503046986317,0.035859375,0.0420234375,9.862499999999997
