carbon_price,price_impact,volume_impact,total_ead,original_ecl,refined_ecl,avg_dscr,avg_net_leverage,original_ecl_rate,refined_ecl_rate,ecl_increase
150,-0.25,-0.15,1600,63.125,84.3125,0.0935221708900907,2.9946550795576172,0.039453125,0.0526953125,21.1875
200,-0.25,-0.15,1600,63.125,84.3125,0.06344875968215813,3.0452969771309486,0.039453125,0.0526953125,21.1875
100,-0.25,-0.15,1600,63.125,84.3125,0.12359558209802357,2.945893223557104,0.039453125,0.0526953125,21.1875
0,-0.25,-0.15,1600,63.125,82.25,0.18374240451388882,2.8535744076325638,0.039453125,0.05140625,19.125
50,-0.25,-0.15,1600,63.125,82.25,0.15366899330595624,2.898900365638358,0.039453125,0.05140625,19.125
75,-0.25,-0.15,1600,63.125,82.25,0.13863228770198985,2.9221822494738583,0.039453125,0.05140625,19.125
200,-0.25,-0.1,1600,63.125,82.25,0.1323519798344017,2.8761138117347844,0.039453125,0.05140625,19.125
150,-0.25,-0.1,1600,63.125,82.25,0.1641944152310363,2.828285352915527,0.039453125,0.05140625,19.125
200,-0.2,-0.15,1600,63.125,82.25,0.1415390758547007,2.854965916060264,0.039453125,0.05140625,19.125
50,-0.2,-0.15,1600,63.125,80.25,0.23777399172008543,2.717719092785961,0.039453125,0.05015625,17.125
100,-0.25,-0.1,1600,63.125,80.25,0.19603685062767084,2.7822324889150427,0.039453125,0.05015625,17.125
75,-0.25,-0.1,1600,63.125,80.25,0.21195806832598818,2.7598387911697553,0.039453125,0.05015625,17.125
50,-0.25,-0.1,1600,63.125,80.25,0.22787928602430552,2.737850345325116,0.039453125,0.05015625,17.125
150,-0.2,-0.15,1600,63.125,80.25,0.1736173811431623,2.807489137085266,0.039453125,0.05015625,17.125
75,-0.2,-0.15,1600,63.125,80.25,0.22173483907585467,2.739545858881742,0.039453125,0.05015625,17.125
100,-0.2,-0.15,1600,63.125,80.25,0.20569568643162395,2.7617748970847855,0.039453125,0.05015625,17.125
0,-0.25,-0.1,1600,61.25,76.125,0.2597217214209402,2.6950424960974204,0.03828125,0.047578125,14.875
200,-0.15,-0.15,1600,61.25,75.5625,0.21962939202724363,2.6870267445273073,0.03828125,0.0472265625,14.3125
150,-0.25,-0.05,1600,61.25,75.5625,0.2348666595719818,2.679428229077868,0.03828125,0.0472265625,14.3125
200,-0.25,-0.05,1600,61.25,75.5625,0.20125519998664523,2.724739400590849,0.03828125,0.0472265625,14.3125
