borrower,business_type,carbon_price,price_impact,volume_impact,revenue,ebitda,ebitda_change,carbon_cost,transition_capex,cfads,dscr,interest_coverage,net_leverage,pd_multiplier,stressed_pd,stressed_lgd,ead,expected_credit_loss,ecl_rate
ServicesCo,Oilfield Services,0,-0.25,-0.15,2231.25,423.9375,-0.39437500000000003,0.0,111.5625,28.78437500000001,0.08995117187500004,3.028125,3.6561993218339968,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,0,-0.25,-0.1,2362.5,448.875,-0.35875,0.0,118.125,43.41874999999999,0.13568359374999997,3.20625,3.4530771372876634,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,0,-0.2,-0.15,2380.0,452.2,-0.354,0.0,119.0,45.370000000000005,0.14178125000000003,3.23,3.427686864219372,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,50,-0.2,-0.15,2380.0,448.03499999999997,-0.35995,4.165,119.0,41.82974999999999,0.13071796874999997,3.2002499999999996,3.459551151137746,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,50,-0.25,-0.15,2231.25,420.0328125,-0.399953125,3.9046875,111.5625,25.465390624999998,0.079579345703125,3.000234375,3.6901878945469293,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,50,-0.25,-0.1,2362.5,444.740625,-0.36465625,4.134375,118.125,39.90453124999999,0.12470166015624998,3.17671875,3.4851774559609883,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,100,-0.25,-0.1,2362.5,440.60625,-0.3705625,8.26875,118.125,36.39031249999999,0.11371972656249998,3.1471875,3.5178801934834105,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,100,-0.25,-0.15,2231.25,416.128125,-0.40553125,7.809375,111.5625,22.14640625000004,0.06920751953125012,2.9723437500000003,3.7248143225118464,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,150,-0.25,-0.15,2231.25,412.2234375,-0.411109375,11.7140625,111.5625,18.82742187499997,0.058835693359374906,2.944453125,3.7600967315207545,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,150,-0.25,-0.1,2362.5,436.471875,-0.37646875,12.403125,118.125,32.876093749999995,0.10273779296874999,3.11765625,3.55120246865849,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,150,-0.2,-0.15,2380.0,439.705,-0.37185,12.495,119.0,34.74924999999996,0.10859140624999988,3.1407499999999997,3.5250906858007074,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,200,-0.25,-0.15,2231.25,408.31875,-0.4166875,15.61875,111.5625,15.508437500000014,0.048463867187500044,2.9165625,3.7960539407019636,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,200,-0.25,-0.1,2362.5,432.3375,-0.382375,16.5375,118.125,29.361874999999998,0.091755859375,3.088125,3.5851620551074106,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,200,-0.2,-0.15,2380.0,435.53999999999996,-0.3778,16.66,119.0,31.208999999999946,0.09752812499999983,3.1109999999999998,3.5588005694080915,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,100,-0.2,-0.15,2380.0,443.87,-0.3659,8.33,119.0,38.289499999999975,0.11965468749999993,3.1705,3.492013427354856,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,75,-0.25,-0.15,2231.25,418.08046875,-0.4027421875,5.85703125,111.5625,23.80589843749999,0.07439343261718748,2.9862890625,3.7074202596315375,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,75,-0.25,-0.1,2362.5,442.6734375,-0.367609375,6.2015625,118.125,38.147421874999964,0.11921069335937488,3.1619531249999997,3.501452467429786,5,0.125,0.6,300,22.5,0.075
ServicesCo,Oilfield Services,75,-0.2,-0.15,2380.0,445.9525,-0.36292500000000005,6.2475,119.0,40.05962499999998,0.12518632812499994,3.185375,3.4757064934045667,5,0.125,0.6,300,22.5,0.075
UpstreamCo,Exploration & Production,50,-0.25,-0.15,3187.5,1059.84375,-0.39437500000000003,23.90625,159.375,91.4921875,0.19060872395833334,5.888020833333333,2.4531918030370043,5,0.075,0.55,500,20.625,0.04125
UpstreamCo,Exploration & Production,50,-0.25,-0.1,3375.0,1122.1875,-0.35875,25.3125,168.75,135.109375,0.28147786458333335,6.234375,2.3169033695349484,5,0.075,0.55,500,20.625,0.04125
